# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.061782       0.000000    0.083333    0.000000          1         1    10.4400   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.965926  -0.258819            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.965926  -0.258819            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.061782       0.000000    0.083333    0.000000          2         1    10.5752   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.965926   0.258819            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.965926   0.258819            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.074138       0.000000    0.100000    0.000000          1         1    10.4418   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.951057  -0.309017            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.951057  -0.309017            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.074138       0.000000    0.100000    0.000000          2         1    10.5739   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.951057   0.309017            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.951057   0.309017            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.086494       0.000000    0.116667    0.000000          1         1    10.4464   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.933580  -0.358368            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.933580  -0.358368            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.086494       0.000000    0.116667    0.000000          2         1    10.5746   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.933580   0.358368            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.933580   0.358368            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.098851       0.000000    0.133333    0.000000          1         1    10.4497   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.913545  -0.406737            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.913545  -0.406737            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.098851       0.000000    0.133333    0.000000          2         1    10.5746   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.913545   0.406737            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.913545   0.406737            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.111207       0.000000    0.150000    0.000000          1         1    10.4515   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.891007  -0.453990            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.891007  -0.453990            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.111207       0.000000    0.150000    0.000000          2         1    10.5742   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.891007   0.453990            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.891007   0.453990            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.123563       0.000000    0.166667    0.000000          1         1    10.4528   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.866025  -0.500000            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.866025  -0.500000            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.123563       0.000000    0.166667    0.000000          2         1    10.5723   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.866025   0.500000            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.866025   0.500000            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.135919       0.000000    0.183333    0.000000          1         1    10.4550   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.838671  -0.544639            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.838671  -0.544639            XXX        XXX            XXX        XXX            XXX        XXX       1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.135919       0.000000    0.183333    0.000000          2         1    10.5708   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.838671   0.544639            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.838671   0.544639            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
  0.148276       0.000000    0.200000    0.000000          1         1    10.4578   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.809017  -0.587785            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.809017  -0.587785            XXX        XXX            XXX        XXX            XXX        XXX       1.000000   0.000000            XXX        XXX            XXX        XXX
